Name,Version,License
doctrine/inflector,v1.3.0,MIT
doctrine/instantiator,1.2.0,MIT
doctrine/lexer,1.0.2,MIT
dragonmantank/cron-expression,v2.3.0,MIT
egulias/email-validator,2.1.10,MIT
erusev/parsedown,1.7.3,MIT
fzaninotto/faker,v1.8.0,MIT
guzzlehttp/guzzle,6.3.3,MIT
guzzlehttp/promises,v1.3.1,MIT
guzzlehttp/psr7,1.6.1,MIT
hamcrest/hamcrest-php,v2.0.0,BSD
laravel/framework,v5.8.31,MIT
league/flysystem,1.0.53,MIT
mockery/mockery,1.2.3,BSD-3-Clause
monolog/monolog,1.24.0,MIT
myclabs/deep-copy,1.9.1,MIT
nesbot/carbon,2.22.3,MIT
opis/closure,3.3.1,MIT
orchestra/testbench,v3.8.4,MIT
orchestra/testbench-core,v3.8.6,MIT
paragonie/random_compat,v9.99.99,MIT
phar-io/manifest,1.0.3,BSD-3-Clause
phar-io/version,2.0.1,BSD-3-Clause
phpdocumentor/reflection-common,1.0.1,MIT
phpdocumentor/reflection-docblock,4.3.1,MIT
phpdocumentor/type-resolver,0.4.0,MIT
phpoption/phpoption,1.5.0,Apache2
phpspec/prophecy,1.8.1,MIT
phpunit/php-code-coverage,6.1.4,BSD-3-Clause
phpunit/php-file-iterator,2.0.2,BSD-3-Clause
phpunit/php-text-template,1.2.1,BSD-3-Clause
phpunit/php-timer,2.1.2,BSD-3-Clause
phpunit/php-token-stream,3.1.0,BSD-3-Clause
phpunit/phpunit,7.5.14,BSD-3-Clause
psr/container,1.0.0,MIT
psr/http-message,1.0.1,MIT
psr/log,1.1.0,MIT
psr/simple-cache,1.0.1,MIT
ralouphie/getallheaders,3.0.3,MIT
ramsey/uuid,3.8.0,MIT
sebastian/code-unit-reverse-lookup,1.0.1,BSD-3-Clause
sebastian/comparator,3.0.2,BSD-3-Clause
sebastian/diff,3.0.2,BSD-3-Clause
sebastian/environment,4.2.2,BSD-3-Clause
sebastian/exporter,3.1.0,BSD-3-Clause
sebastian/global-state,2.0.0,BSD-3-Clause
sebastian/object-enumerator,3.0.3,BSD-3-Clause
sebastian/object-reflector,1.1.1,BSD-3-Clause
sebastian/recursion-context,3.0.0,BSD-3-Clause
sebastian/resource-operations,2.0.1,BSD-3-Clause
sebastian/version,2.0.1,BSD-3-Clause
swiftmailer/swiftmailer,v6.2.1,MIT
symfony/console,v4.3.3,MIT
symfony/css-selector,v4.3.3,MIT
symfony/debug,v4.3.3,MIT
symfony/event-dispatcher,v4.3.3,MIT
symfony/event-dispatcher-contracts,v1.1.5,MIT
symfony/finder,v4.3.3,MIT
symfony/http-foundation,v4.3.3,MIT
symfony/http-kernel,v4.3.3,MIT
symfony/mime,v4.3.3,MIT
symfony/polyfill-ctype,v1.12.0,MIT
symfony/polyfill-iconv,v1.12.0,MIT
symfony/polyfill-intl-idn,v1.12.0,MIT
symfony/polyfill-mbstring,v1.12.0,MIT
symfony/polyfill-php72,v1.12.0,MIT
symfony/polyfill-php73,v1.12.0,MIT
symfony/process,v4.3.3,MIT
symfony/routing,v4.3.3,MIT
symfony/service-contracts,v1.1.5,MIT
symfony/translation,v4.3.3,MIT
symfony/translation-contracts,v1.1.5,MIT
symfony/var-dumper,v4.3.3,MIT
theseer/tokenizer,1.1.3,BSD-3-Clause
tijsverkoyen/css-to-inline-styles,2.2.1,BSD-3-Clause
vlucas/phpdotenv,v3.4.0,BSD-3-Clause
webmozart/assert,1.4.0,MIT
